company,education,Industry,jobdescription,City,Job_Title,Posting_Date,Skill_Category,Experience_Years,Average_Salary,Year,Month,Month_Name
Sixth Element Consulting Pvt Ltd. hiring for A leading telecom operator in India,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Telecom/ISP /,"Job Description   Send me Jobs like this Ensuring that the stores sales and service targets are met. Ensuring the look and feel of the store is maintained as per guidelines. KPI Reporting as per guidelines. Store-staff engagement and retention Ensuring inventory and stock availability at all times. Ensuring sales targets are met by conversion of walk-in customers and also up-selling the company's products Salary:INR 3,75,000 - 5,50,000 P.A Industry: Telecom/ISP / Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Retail Store Manager Keyskills store hygiene store manager inventory management Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required The candidate should have good experience in managing the operations of a store independently. Candidates from Retail stores in Handsets, Mobiles, accessories and consumer durables will be given preferenceJob location-Bangalore Company Profile: Sixth Element Consulting Pvt Ltd. A leading telecom operator in India Sixth Element Consulting Pvt Ltd, based in Gurgaon (Haryana) is one of the most distinguished companies in the field of recruitment and placement. Sixth Element Consulting Pvt Ltd is offering a comprehensive range of manpower and staffing solutions. Catering to the various needs of the clients, we provide services such as Placement Services, Manpower Recruitment, Staffing Solutions, Executive Search, Outsource Staffing Services, Recruitment Process Outsourcing Services pan India. Download PPT Photo 1   View Contact Details",Bengaluru,A Telecom Company is Hiring Store Manager(bangalore ),2016-03-30 17:04:42+00:00,Sales,3.5,462500,2016,3,March
CV Information,"UG: B.Tech/B.E. - Any Specialization, Mechanical, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required",Automobile / Auto Anciliary / Auto Components,"Job Description   Send me Jobs like this Urgently required Asst.Manager- NPD for a reputed Sheet Metal Industry. Candidate should know about GD&T, FMEA, PPAP, MSA, SPC and Development of Sheet Metal Components. Qualificataion: Diploma/BE-Mechanical Exp: 4.6 to 8 Yrs Salary:INR 3,00,000 - 6,00,000 P.A Industry: Automobile / Auto Anciliary / Auto Components Functional Area: Engineering Design , R&D Role Category:R&D Role:Product Development Manager Keyskills SPC PPAP MSA Fmea NPD Sheet Metal new product development gd&t pfmea press components sheet metal stamping sheet metal componenst stamping Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, Mechanical, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: CV Information One of the reputed Sheet Metal Industry Download PPT Photo 1   View Contact Details",Bengaluru,Asst.manager - NPD (sheet Metal Industry Only),2016-03-29 17:04:42+00:00,Engineering Design,6,450000,2016,3,March
Premier Information hiring for one of our reputed client company.,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required,Electricals / Switchgears,"Job Description   Send me Jobs like this Should be Aged 35-40 .Should have hands on experience in managing and scheduling of productions teams as per the project reqirements.Should have good knowledge of processes like 4S , 8D, FMEA, Kaizen, Kanban etc. location-bangalore. Salary:INR 3,00,000 - 4,50,000 P.A Industry: Electricals / Switchgears Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Purchase/Material Management Role:Material Management Executive/Manager Keyskills Procurement Management Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Premier Information one of our reputed client company. ours is a leading job consultancy based in bangalore. we are hiring candidates for one of our client company. Interested candidates can contact us at 08041728393, 9731599315, 9739629648. Download PPT Photo 1   View Contact Details",Bengaluru,Production and Procurement Manager,2016-03-29 17:04:42+00:00,Supply Chain,6.5,375000,2016,3,March
IZMO LTD.,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, we are looking for Account Receivables Collection Specialist for our internal project, Please find below the job description, Roles and Responsibilities: He will be following up with clients for payments. He should have some accounting background but not necessary. He should have payment collection experience in a large company with specific experience in calling small to large businesses for payment collection. Experience: 1- 2 Years. Location: Bangalore. Venue Details: IZMO LTD Post Box No. 7620, 177/2C Billekahalli Industrial Area, Bannerghatta Road Bangalore-560 076, India. If Interested please send your updated resume to rashmi.rajan@izmoltd.com or samarth.jv@izmoltd.com Company Profile: iZMO Ltd izmo ltd. is the world leader in interactive automotive solutions. The company offers hi-tech automotive e-retailing solutions in U.S.A, Mexico, Europe, and Asia. The company is listed on the BSE and NSE, and has 53% investment from FIIs and Mutual Funds. izmo is a pioneer in the automotive retail space, with a trail blazing legacy of innovative products that define standards in the market - from the izmoToolkit in 2002 to the izmo web platform. izmo offerings include full-featured interactive online stores, car animation and graphics, comprehensive online marketing programs, sales performance coaching, OEM certified CRM and ILM Solutions, and online service management solutions, among other products. izmo owns the world's largest collection of Automotive Images and Animation, namely izmoStudio. The izmoStudio visual tools and a comprehensive library of automotive content forms the platform on which izmoToolkit for Internet Sales is built on. izmo has a client base of hundreds, from Fortune 100 OEMs to some of the largest automotive retail groups in the world. izmo is a Deloitte Technology Fast 500 Asia Pacific company for three years in a row. The Deloitte Technology Fast 500 Asia Pacific program ranks the top 500 technology companies in the Asia Pacific according to their revenue performance over the last three years. The ranking is compiled by Deloitte Touche Tohmatsu, one of the largest professional services firms in the world. izmo is also present in the Enterprise Software space, with connectivity and security products from Open Text, etc. Salary:INR 1,00,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Programming & Design Role:Software Developer Keyskills Accounts Payable Payment Collection Accounts Receivable Accounts & Finance Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: IZMO LTD. izmo ltd. is the world leader in interactive automotive solutions. The company offers hi-tech automotive e-retailing solutions in U.S.A, Mexico, Europe, and Asia. Download PPT Photo 1   View Contact Details",Bengaluru,Immediate Openingfor Account Receivable_ Product Based Company,2016-03-29 17:04:42+00:00,IT Software - Other,1.5,200000,2016,3,March
Bell Teleservices India Pvt Ltd(Metro Net),"UG: Diploma - Electronics/Telecommunication, Computers, B.Sc - Computers PG:Post Graduation Not Required Doctorate:Doctorate Not Required",Telecom/ISP /,"Job Description   Send me Jobs like this -Responsible for installation of internet services to homes/offices. -Installation of switches, Wi-Fi routers, Access Points for Internet Services -Fault finding and rectification of Network connectivity and Internet related problems at customer location -Collecting the CAF and Installation Reports and documentation of area database. Salary:INR 1,25,000 - 2,00,000 P.A Industry: Telecom/ISP / Functional Area: IT Hardware , Technical Support , Telecom Engineering Role Category:Technical Support Role:Customer Support Engineer/Technician Keyskills Networking Switching WiFi Network Support Installation Fault Finding Desired Candidate Profile Education- UG: Diploma - Electronics/Telecommunication, Computers, B.Sc - Computers PG:Post Graduation Not Required Doctorate:Doctorate Not Required -1-3 years of experience in Telecommunications /Internet /Cable TV/DTH services.-Basic Network and Computer knowledge of System configuration and physical connectivity-Should have a two wheeler and should be willing to work in flexible timings. -Should have a flair for customer service. Company Profile: Bell Teleservices India Pvt Ltd(Metro Net) BELL Teleservices is a 14 years Organisation with the objective of becoming leading & preferable Internet and Telecom Infrastructure Services Company. BELL has the largest underground Optic Fiber network in Karnataka which is fully owned and maintained by our well expertise in-house teams. With our Infrastructure Provider and ISP License's, Bell is one of the largest Telecom Infrastructure and Internet Service Provider to cater the triple play requirements i.e. Data, Voice and Video in Karnataka for the Enterprise, SME, SOHO across all verticals and broadband requirements of residential segments. METRONET is the brand of our Internet services and provides state-of-the-art network services by partnering with world class Technology leaders to provide technology, products and solutions catering to the requirements of its clients who demand a high degree of satisfaction. BELL is an ISO 9001:2008 certified company with many trusted customers from Home, SME & Educational Institutions. Download PPT Photo 1   View Contact Details",Bengaluru,Field Network Support Engineer,2016-03-29 17:04:43+00:00,IT Hardware,2,162500,2016,3,March
Spruce Software Tech,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this - Rich experience in a highly-complex technical operations environment, preferably cloud-based services on AWS or OpenStack platform. - Hands-on experience with cloud infrastructure technologies, including continuous integration tools CICD such as Jenkins, SCM GIT, Configuration management with Chef / Puppet / Ansible, Monitoring & Alerting Tools: Zabbix /Nagios / Cloud Watch. - Automation: Have strong hands-on experience on shell scripting / Perl / Python / Ansible. - Log Aggregation Setup : EFK / ELK stack ( ElasticSearh, FluentD, , Logstash, Kibana ) - Baseline & Vulnerability assessment (BA/VA), System Hardening - Application knowledge : Java bases applications, NGINX, WSO2, Apache, Tomcat, RabbitMQ, HA Proxy Salary:INR 35,00,000 - 50,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Perl Python Shell Scripting Java Apache Tomcat GIT Configuration Management Technical Operations Vulnerability Assessment DevOps OpenStack AWS Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Spruce Software Tech Spruce Technology's client-focused, personalized approach has allowed us to realize tremendous growth and expansion to include sales offices in New Jersey, California, and Massachusetts, as well as extensive development and back office operations in India. Spruce Technology works with 27 State Governments, and Federal Government. Spruce Technology strategic partnerships with clients Columbia University, E*TRADE Financials , Microsoft , San Disk, Broad Ridge Financials, Stan Ford Education, Stan Ford Hospitals, Sephora Inc, CMS financials, PG&E, Music Master Mind, Site Core etc. Spruce Technology has built a network of strategic alliances and partnerships with industry leaders such as Accenture, Grant Thornton, KPMG and others with whom we have delivered successful projects for many Fortune 1000 companies. Download PPT Photo 1   View Contact Details",Bengaluru,Software Developer - Devops - USA,2016-03-30 17:04:43+00:00,IT Software - Application Programming,10.5,4250000,2016,3,March
united capital club,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this We, United Capital Club taking a great step for those females ,who looking for part time opportunity and want to turn them spare time in money ;providing best opportunity where 2 hours over internet can produce 6 to 8 K per week.You have to promote our tourism products while surfing internet for 2-3 hrs at your home only. Salary:INR 50,000 - 3,00,000 P.A. weekly basis Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Other Role:Fresher Keyskills Part Time Internet Surfing Online Marketing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: united capital club UNITED CAPITAL CLUB (UCC) is a registered entity (ISO certified) and one of the fastest growing in the tourism industry. UCC is an approved company by Ministry of Corporate Affairs. With just 4 years into existence, UCC has reached & touched the lives of more than 6000 people countrywide. Besides making it's mark in providing best-in-class Tourism services globally, UCC also envisions creating excellent business opportunities (across world) for those who want to increase their income to a significant level by putting minimum yet consistent time & efforts.Â  UCC requires all committed, visionary, consistent and result oriented people who want to be SUCCESSFUL in the realm of network marketing of Travel & Tourism. At UCC, we don't create needs by selling any products, we simply FULFILL the existing needs of the people by providing the best-in-class services. Download PPT Photo 1   View Contact Details",Mumbai,Only Expend 3-4 Hours Online Along with Gain Approximately 6000 Regul,2016-03-29 17:04:43+00:00,Travel,0,175000,2016,3,March
Clin Biotech hiring for Clinbiotech Academy,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Sc - Any Specialization, Bio-Chemistry, Biology, Botany, Chemistry, Microbiology, Nursing, Physics, Zoology, B.Pharma - Pharmacy, BDS - Dentistry, BVSC - Veterinary Science, MBBS - Medicine PG:Post Graduation Not Required, M.Tech - Any Specialization, Bio-Chemistry/Bio-Technology, Biomedical, Chemical, Nuclear, M.Sc - Bio-Chemistry, Biology, Botany, Chemistry, Microbiology, Nursing, Physics, Zoology, M.Pharma - Pharmacy Doctorate:M.Phil. - Bio-Chemistry/Bio-Technology, Biomedical, Biotechnology, Chemistry, Microbiology, Pharmacy, Ph.D - Bio-Chemistry/Bio-Technology, Biomedical, Biotechnology, Chemistry, Microbiology, Pharmacy, Physics, Any Doctorate - Any Specialization, Doctorate Not Required",Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this Regulatory affairs officers ensure the appropriate licensing, marketing and legal compliance of pharmaceutical and medical products, in order to control the safety and efficacy of products. Salary:INR 2,25,000 - 4,25,000 P.A Industry: Pharma / Biotech / Clinical Research Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:R&D Role:Clinical Research Associate/Scientist Keyskills Pharmacovigilance Clinical Research Clinical Data Management clinical data validation Medical Writing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Sc - Any Specialization, Bio-Chemistry, Biology, Botany, Chemistry, Microbiology, Nursing, Physics, Zoology, B.Pharma - Pharmacy, BDS - Dentistry, BVSC - Veterinary Science, MBBS - Medicine PG:Post Graduation Not Required, M.Tech - Any Specialization, Bio-Chemistry/Bio-Technology, Biomedical, Chemical, Nuclear, M.Sc - Bio-Chemistry, Biology, Botany, Chemistry, Microbiology, Nursing, Physics, Zoology, M.Pharma - Pharmacy Doctorate:M.Phil. - Bio-Chemistry/Bio-Technology, Biomedical, Biotechnology, Chemistry, Microbiology, Pharmacy, Ph.D - Bio-Chemistry/Bio-Technology, Biomedical, Biotechnology, Chemistry, Microbiology, Pharmacy, Physics, Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Clin Biotech Clinbiotech Academy Clinbiotech academy is an expertise brand in unique TRAINING PROGRAMME in clinical research & Pharmacovigilance. Direct training classes in bangalore, Chennai & Hyderabad- CLINBIOTECH!!! Contact : Sathya, Ph.No:7299999133/9841744393 Download PPT Photo 1   View Contact Details",Chennai,Regulatory Affairs,2016-03-29 17:04:43+00:00,Medical,1,325000,2016,3,March
Pasona India private Limited,"UG: Any Graduate, Graduation Not Required PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Automobile / Auto Anciliary / Auto Components,"Job Description   Send me Jobs like this Responsible for machining line CNC Machines along with overall production activities Achieving the production target, on time delivery with zero defects, drawing interpretations, GD&T and process understanding knowledge. Good in Applying Kaizen &5S adherence and implementing the shop floor & monitoring the TPM activity. Salary:INR 3,00,000 - 4,50,000 P.A Industry: Automobile / Auto Anciliary / Auto Components Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Production Manager Keyskills production manufacturing machine shop m c shop cnc vmc hmc Desired Candidate Profile Education- UG: Any Graduate, Graduation Not Required PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Pasona India private Limited Opening with Japanese MNC for automotive industry at Bangalore Location Download PPT Photo 1   View Contact Details",Bengaluru,Team Leader - Production (machine Shop),2016-03-30 17:04:43+00:00,Production,5.5,375000,2016,3,March
HERITAGE FOODS LIMITED,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Agriculture / Dairy,"Job Description   Send me Jobs like this 1. SAP Data Management 2. IT Team Management 3. Imparting Training to the IT Team on SAP MM, PP & SD modules 4. MIS Support 5. Co ordinating with the respective functional team Salary:INR 1,00,000 - 2,00,000 P.A. As Per norms Industry: Agriculture / Dairy Functional Area: IT Software - Application Programming , Maintenance Role Category:System Design/Implementation/ERP/CRM Role:Datawarehousing Technician Keyskills SD SAP MM PP Data Management IT Team Management Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Graduate / Post Graduate with 4-5 yrs of experience in SAP DATA Management in the modules of SAP - PP,MM,SD & PI.Candidates who are having similar experience shall be preferred. Company Profile: HERITAGE FOODS LIMITED Heritage Foods Ltd (commonly known as Heritage) is one of the largest public limited dairy enterprises in Southern India. The Heritage Group, founded in 1992 by Mr. Nara Chandrababu Naidu, with Four-Business divisions viz., Dairy, Retail, Bakery and Agri under its flagship Company Heritage Foods Limited (HFL), and other associate Companies viz., Heritage Finlease Limited, and Heritage Agro Merine Private Limited. The budgeted annual turnover for the F Y 2013-14 is around Rs. 2000 Crs. Presently Heritage milk products have market presence in Andhra Pradesh, Karnataka, Kerala, Tamil Nadu,Maharastra and Delhi. Download PPT Photo 1   View Contact Details",Chennai,Wanted Data Management Coordinator - Chennai & Bangalore,2016-03-30 17:04:43+00:00,IT Software - Application Programming,5.5,150000,2016,3,March
Aegis Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this It is an opportunity for youngsters to be a part of digital giant with turnover of 25000 cr in technology market and also work in state of the art office located at whitefield. Benefits: Attractive salary Pick and Drop facilities Pilot batch Good career progression plan - Work Location Bangalore (Initial 7days Accomodition provided by Company) - Freshers or Experienced with Excellent Communication can  apply - Pilot Batch - Graduates with backlogs can apply (preferably BE or Btech) - Undergraduates are Welcome - Candidates Fluent with English, Kannada & Hindi -  English&Tamil - English&Malayalam would be Preferred -Day Shift and Cab facility will be provided - Salary starts from 13600 upto 22000 (Per Month) Interview Timings : 10 AM - 3 PM Walk-in Dates: 12th Mar'16(Saturday) WALK-IN DETAILS FOR INTERVIEW AEGIS Limited. address.  Essar House, Old Lakshmi Theatre Building, #41, St.John's Road, Bangalore - 560042  Landmark : Opp to Ulsoor Lake Contact Person : Pradeep Contact person & Number:9790677367 Please carry this print out for Gate pass Manditory. WALK-IN WITH RESUME AND WALK-OUT WITH THE OFFER!!! Salary:INR 2,00,000 - 4,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Tamil Malayalam Interviewing Technical Support fresher BE btech BCA PUC not pursuing graduation undergraduate Diploma BPO Voice CSR CSA International Voice call agent hindi Kannada Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Aegis Limited Aegis Limited: Aegis is a world-leading outsourcing services partner for more than 150 clients and with over two decades of leadership in total customer lifecycle management. The company has more than 55,000 employees across 50 locations, with a presence in 12 countries, serving verticals such as BFSI, telecom, healthcare, travel and hospitality, consumer goods, retail and technology. The company specializes in tailor-made solutions that cover the entire spectrum of customer and business experiences - across business processing, technology, shared services, analytics and consulting - and offers customized engagement models to further facilitate the ease of doing business. Download PPT Photo 1   View Contact Details",Bengaluru,Walk-in Drive for Customer Relations Officer (Day Shift),2016-03-29 17:04:43+00:00,ITES,2.5,300000,2016,3,March
Inspiration Manpower Consultancy Pvt. Ltd. hiring for Inspiration Manpower consultancy,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this We have an excellent opening for Hr Recruiter, Spoc, Client Handling, and Sourcing Salary Best in Industry, Candidate should possess excellent oral and written communication skills, willing to Prior experience in Hr Recruiter/Staffing Specialist will be an added advantage. To Apply Call Aditya@9686682465, Punith-7259027295, Maqsood-7760984460, Nikhil-9900073501 Salary:INR 1,00,000 - 2,75,000 P.A. Incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Recruitment Staffing HR Salary Sourcing ITES Client Handling Written Communication Communication Skills HR and Recruitment Hr specialization End To End Recruitment staffing specialist Recruitment and Staffing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required We are hiring candidates for Hr Recruitment, Staffing specialist, Spoc, Client handling Freshers also can Apply to Apply contact Aditya@ 9686682465 / 9686682462 / 9900073501 Company Profile: Inspiration Manpower Consultancy Pvt. Ltd. Inspiration Manpower consultancy Inspiration Manpower Consultancy, one of the fast growing end-to-end Recruitment & Staffing Solutions Consultants in India, was established in the year 2008; Inspiration Manpower provides a comprehensive, end-to-end recruitment solution, that covers every need of the customer, throughout the recruitment cycle. Download PPT Photo 1   View Contact Details",Bengaluru,Hr/hr Executive/staffing Specialist/hr Recruiter/sourcing/spoc/fresher,2016-03-29 17:04:43+00:00,ITES,1,187500,2016,3,March
Macropace Technologies hiring for CMMi Level5 Client,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Semiconductors / Electronics,"Job Description   Send me Jobs like this Strong C++, OOAD, Ops And Design Patterns. Experience In Writing Sustainable/Maintainable Quality Code. Firmware And Device Driver Development On Micro Controllers/Micro Processors Expertise On Communication Protocols (Modbus, Dnp, Iec 61850)Expertise In Using Embedded RTOS (Integrity Is Preferred) Expertise In Agile Software Development Process Salary:INR 5,00,000 - 12,00,000 P.A Industry: Semiconductors / Electronics Functional Area: IT Software - Embedded , EDA , VLSI , ASIC , Chip Design Role Category:Programming & Design Role:Software Developer Keyskills C++ RTOS Device Driver Development OOAD Software Engineering Firmware Design Patterns Communication Protocols Modbus Software Development Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Very good team playerExcellent communication skillsProactiveWilling to learn the new things and able to help others Company Profile: Macropace Technologies CMMi Level5 Client Leading IT Services firm Download PPT Photo 1   View Contact Details",Bengaluru,"Senior Software Engineer, 3-5 Yrs, Bangalore",2016-03-29 17:04:43+00:00,IT Software - Embedded,4,850000,2016,3,March
White Horse Manpower Consultancy Private Limited hiring for MNC BPO,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this * Candidate should Help Banking and non Banking Customers * Candidate should be ready for Day, US, Or UK Shifts. * Freshers or experience in Customer Support Voice Process. * Prior experience in Customer Service industry Salary:INR 1,25,000 - 4,00,000 P.A. Plus Incentives and food coupons with transportation Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Service Call Centre call center BPO Bangalore csr tsr scsr stsr nonvoice voice semivoice fresher Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Excellent Communication PUC/10+2 Any Fresh Graduate or Experienced Ready to work in rotating shifts Smart enough to get going in the dynamic BPO industry Company Profile: White Horse Manpower Consultancy Private Limited MNC BPO Recruitment Company with more than 15 Plus International BPOs in the consultancy giving SPOT OFFER Letters Walkin with 2-3 Resumes from Monday 2 Saturday 10am to 6pm Free Recruitment no charges. Download PPT Photo 1   View Contact Details",Bengaluru,"Voice And Non Voice Spot Offer For 15 Plus Bpo""s Ruby 9342431048",2016-03-30 17:04:44+00:00,ITES,2,262500,2016,3,March
Axis Jobs,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Automobile / Auto Anciliary / Auto Components,"Job Description   Send me Jobs like this Receives, stores, and issues supplies and equipment and compiles records of supply transactions aboard ship: Verifies that supplies received are listed on requisitions and invoices. Stores supplies and equipment in storerooms. Issues supplies. Salary:INR 2,75,000 - 4,75,000 P.A. Best In The Industry Industry: Automobile / Auto Anciliary / Auto Components Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Logistics Role:Store Keeper/Warehouse Assistant Keyskills Warehouse Store Management Inventory Control Store Supervision Material Management Store Merchandising Store Keeping Store Planning Warehouse Operations Stores Delivery Challan Shipment Fresher 12th graduate undergraduate ba ma Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Good Verbal communication or Written communication . Team worker or Self-motivation Power. Energetic & self-motivated & team player. Good Computer Basic knowledge. Company Profile: Axis Jobs Axis Jobs Private Limited is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations Service Provider in India. Download PPT Photo 1   View Contact Details",Bengaluru,Store Keeper / Warehouse Assistant,2016-03-30 17:04:44+00:00,Supply Chain,1.5,375000,2016,3,March
Narayana Hrudayalaya Health City,"UG: B.Sc - Bio-Chemistry, Microbiology PG:M.Sc - Any Specialization, Bio-Chemistry, Microbiology Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Medical / Healthcare / Hospitals,"Job Description   Send me Jobs like this Designation: Microbiologist/ biochemist/ Technician for biochemistry and microbiology Job Type; permanent Location: Bommasandra, Bangalore Salary: 15K - 20K No of openings: 10 Exp: 1-5 Years  We are looking for candidates with Msc MLT, Bsc MLT or DMLT for Microbiology and biochemistry departments.  Position 1:  Biochemist Position 2:  Microbiologist Position 3:  Technician Biochemist Position 4:  Technician Microbiology Interested candidates can send resumes to ramkumar.v@nhhospitals.org / 8884416479  OR can directly walkin to: Monday to Saturday 9 am - 3 PM  Narayana Hrudayalaya Limited, Narayana Institute of Cardiac Science (Hospital), HR Department, Basement (Cardiac block), #258/A, Bommasandra Industrial Area, Anekal Taluk, Hosur Road, Bangalore - 99 Contact Person : RAM Thanks and regards RAM Salary:INR 1,75,000 - 2,50,000 P.A Industry: Medical / Healthcare / Hospitals Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:Medical Professional Role:Medical Representative Keyskills Biochemistry Microbiology Dmlt MLT Technician Desired Candidate Profile Education- UG: B.Sc - Bio-Chemistry, Microbiology PG:M.Sc - Any Specialization, Bio-Chemistry, Microbiology Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Narayana Hrudayalaya Health City Narayana Health (www.narayanahealth.org), one of India's largest and World's most economical healthcare service providers is set to emerge as a global industry model for its ability to reconcile quality, affordability, scale, transparency, credibility and sustainable profitability. Narayana Health has grown to a 7500 beds healthcare conglomerate in 2014 with 29 hospitals present in 17 Cities within the country. The group has already established its presence in Ahmedabad, Bangalore, Berhampore, Dharwad, Davangere, Durgapur, Guwahati, Hyderabad, Jaipur, Jamshedpur, Jodhpur, Kolar, Kolkata, Kuppam, Mysore, Mahuva, Raipur and Shimoga. Also we are present across India i.e in Cayman Island. Download PPT Photo 1   View Contact Details",Bengaluru,"Need Msc,bsc MLT / Dmlt(technicians,biochemist,microbiologist)vaccancy",2016-03-30 17:04:44+00:00,Medical,3,212500,2016,3,March
